,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
37,138328.57486451697,329385.49150507484,77316.51017841477,8649.961517330701,10651471.959589351,110026.0
38,146525.67995715648,361902.04961244395,74150.79367093842,7822.467385878544,9555017.532674853,113619.0
39,142072.0399427939,360444.0240406269,71113.65070730125,7074.130737794021,8546046.642703757,117103.0
40,131430.30157095584,325470.52193867264,68199.94378038665,6397.380212853623,7623990.4836118305,120102.0
41,120455.46260042593,293883.1115651024,86254.00841129867,8112.692406258063,6786261.904687514,124301.0
42,112806.02871469373,265355.3164210635,109073.22380768124,10287.800114242364,6028894.542969705,129184.0
43,111617.13093487041,264223.0742615219,137906.80800852802,13045.876238245402,5347044.164146975,133974.0
44,119581.08203463638,263074.3384436764,174326.39431583448,16543.043241179173,4735372.365662009,139196.0
45,134119.7871802655,288802.3393720255,220306.2091874704,20977.158938169167,4188333.0410335064,142690.0
46,143870.25565797446,316983.3139330798,278321.367049217,26598.927670203375,3700380.473938556,146837.0
47,142209.42457213395,315493.2700824899,351467.2635324035,33725.94180245563,3266115.588370981,150264.0
48,133340.37784037367,313979.90931894997,443602.81468205777,42760.409424456775,2880384.305158175,154863.0
49,123026.23149771204,283406.9663709647,559519.4487016959,54211.50874052033,2538339.4673306053,159793.0
50,115141.47792264144,255805.43144522552,705135.8887768158,68723.53289309877,2235475.557418799,165455.0
51,112717.29989851879,254534.08833259807,887715.2470260746,87111.25476245172,1967643.501128145,170485.0
52,118353.1072971461,253249.35932248362,1116094.900303507,110404.25080815036,1731051.2407828346,175202.0
53,130916.75257060697,277725.2357180115,1400909.877183722,139902.27183784937,1522254.4460533874,180545.0
54,141402.28320701187,304508.50257941626,1754775.6764295371,177244.12190275398,1338140.6733205481,185122.0
55,141983.10918300532,302868.5798977991,2192375.2418108257,224492.87140435036,1175909.4493303907,191410.0
56,134756.71196831626,301209.663144967,2730366.636752493,284240.5237154936,1033050.1015793176,196847.0
57,125126.22833854373,271787.6306286776,3386994.220120439,359735.36393981846,907318.6528811881,202951.0
58,117129.17090911584,245234.44554307277,4181252.4464584175,455034.95496815076,796714.711232857,208392.0
59,113776.95320205354,221271.32264625482,5131430.593182066,575186.8049803205,699458.9936035698,212802.0
60,117604.19196658435,220015.74123416338,6252881.522574227,726436.6392006216,613971.9032559829,216852.0
61,128401.67529290034,241056.4319879573,5904078.052136046,656238.0765172304,538853.4181952156,220657.0
62,139116.86239478664,264065.6779431126,5568868.139933903,592793.0668590621,472864.4301918648,226089.0
