,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
193,1445161.8112306716,3530223.478678223,6615164.835198996,1142968.8717061765,0.5662437581764039,
194,1436658.1254896335,3498509.8289275086,5987909.508690546,1032644.3358051863,0.4965733744935862,
195,1390696.4195482766,3466742.118463749,5419749.312143853,932961.8721653832,0.43547520426073133,
196,1335026.9603172846,3434930.240447918,4905186.251307945,842896.2086556621,0.38189452609595126,
197,1295874.9866329646,3403083.921073459,4439221.146208822,761520.6141491602,0.33490639107317804,
198,1292798.1387408343,3371212.716288013,4017310.7168779005,687997.4708387408,0.2936996555762281,
199,1332469.6660019415,3339326.008776036,3635327.920625682,621569.7405390308,0.25756297874347056,
200,1395875.7498026572,3637629.8572437246,3289525.381298382,561553.2416807452,0.2258725427807423,
201,1440931.2103634772,3961677.7070688256,2976501.7395154177,507329.6611877401,0.19808128416155887,
202,1438932.0107706871,3922613.3993354747,2693170.74719139,458340.23229177506,0.17370944981571762,
203,1397247.0964646912,3883510.532151647,2436732.9283519215,414080.01562531845,0.1523363152803061,
204,1342287.197901338,3844382.3983869227,2204649.6302766236,374092.72667961876,0.13359292184576774,
205,1300512.4118130368,3805242.027156113,1994619.2934744032,337966.0579630177,0.11715570732032701,
206,1292228.6364900775,3766102.179674368,1804555.775223421,305327.44898118154,0.1027409204623614,
207,1326162.407152537,3726975.345541968,1632568.568841539,275840.2615225694,0.0900997226585629,
208,1387346.4495253745,4054108.6321700593,1476944.7690615274,249200.32170344528,0.07901389228946726,
209,1436071.9832958085,4408840.758354404,1336132.6425337708,225132.79383898576,0.06929205762796287,
210,1440426.5101489006,4361073.0265054,1208726.6713089186,203389.35449082198,0.06076639324031335,
211,1403308.2908455334,4313302.296494078,1093453.9459684542,183745.63802451603,0.053289722860550316,
212,1349468.973924006,4265546.028051374,989161.7937266883,165998.927719103,0.04673297872592752,
213,1305492.2193303886,4217821.271944536,894806.5352166849,149966.06892889607,0.040982973514626736,
214,1292361.5578121678,4170144.665382602,809443.2717210838,135481.5830274395,0.03594044642327121,
215,1320597.7360230386,4122532.428104168,732216.6122666716,122395.96288520227,0.03151834965420421,
216,1379000.3086197434,4075000.359128938,662352.2572383928,110574.13246506921,0.02764034573262171,
217,1430659.0990741753,4424945.209372441,599149.3619690887,99894.05478006392,0.024239489713145015,
218,1441151.1555408533,4372646.563400947,541973.6101213295,90245.47396176177,0.02125707352711964,
219,1408853.035947073,4320446.003942742,490250.93260182574,81528.77854987723,0.018641612520915136,
220,1356532.6410209239,4268361.305319315,443461.81324784865,73653.97434665161,0.01634795669010814,
221,1310764.762498166,4216409.727349622,477591.02210878703,92983.66556776773,0.014336511267021774,
222,1293147.2339456766,4164608.014008551,514325.1550488187,117384.69749130253,0.012572553206832482,
223,1315772.1894421552,4112972.392821894,553859.5613126234,148186.68049016205,0.011025631772926174,
224,1370913.2879863777,4061518.574969314,596403.6835901475,187067.28521260823,0.009669042873969795,
225,1424771.247618187,4403755.321212852,642181.9851811918,236143.03673826938,0.008479368078318648,
226,1441121.0122640957,4347403.196467496,691434.9234201737,298083.6032319041,0.007436070347889162,
227,1413856.0104108125,4291261.334421583,744419.969078869,376255.54580000474,0.006521139512758556,
228,1363439.400875489,4235347.123162531,801412.6708830186,474902.94414163707,0.005718781366414346,
229,1316282.562139459,4179677.3382260967,862707.7635765156,599374.0710203551,0.005015145014587974,
230,1294537.220038453,4124268.145434765,928620.317126641,756405.3985885017,0.004398083770968464,
231,1311676.5172541796,4069135.1044698786,999486.9236656423,954476.709696315,0.003856945472202556,
232,1363152.9633297557,4014293.1731398255,1075666.9175859937,1204253.9572498177,0.0033823885924453047,
233,1418489.1064819153,4346172.312313621,1157543.6228249366,1519139.7078511748,0.0029662209830957245,
234,1440356.7403273222,4286375.507569866,1245525.6197625736,1915954.3643753536,0.0026012584539246856,
235,1418294.1189901521,4226907.882233278,1340048.02228881,2415774.554591314,0.0022812007543188185,
236,1370151.3684536899,4167785.7078842614,1441573.753438306,3044957.4834173615,0.0020005228137377367,
237,1321999.9943822226,4109024.561187873,1550594.8055184407,3836380.605632524,0.0017543793638977688,
238,1296484.3180756597,4050639.331561563,1667633.467831142,4830922.915299809,0.0015385212962003864,
239,1308296.4090053346,3992644.2295086444,1793243.501883535,6079204.656438763,0.0013492223105059113,
240,1355778.2760412379,3935052.7955719833,1928011.2403637117,7643582.03310055,0.0011832145890099885,
241,1411894.4497184663,4254271.459036386,1742849.636767637,6897973.198019373,0.001037632384778078,
242,1438884.8669329484,4191742.5213726764,1575438.6398070077,6224790.073447793,0.0009099625511219326,
243,1422146.8799876946,4129663.5032173684,1424082.419606174,5617054.615700938,0.0007980011578198903,
244,1376631.5906933125,4068048.8600383424,1287246.088408755,5068450.41522968,0.0006998154452584099,
245,1327873.011868341,4006912.292785844,1163540.6234509752,4573261.972522419,0.0006137104597193487,
246,1298942.5789315614,3946266.7606558134,1051709.165847365,4126319.1642726343,0.0005381997938468669,
247,1305613.5505475113,3886124.4943859596,950614.5767130887,3722946.5312265707,0.00047197992719444506,
248,1348839.9426280807,3826497.010034146,859228.1406980385,3358917.0295991786,0.0004139077238997493,
249,1405069.269692487,4131150.662307729,776619.315646181,3030409.9020530623,0.0003629806990357244,
250,1436737.849067907,4066672.0309129865,701946.4351787189,2733972.340781341,0.0003183197129811803,
251,1425396.8520585108,4002760.829681273,634448.2786083526,2466484.6332942974,0.0002791537950684452,
252,1382843.9725258206,3939429.0860721706,573436.4297155472,2225128.500366085,0.0002448068345227575,
253,1333858.7860864964,3876688.041195357,518288.3525582534,2007358.3547072823,0.00021468590894262266,
254,1301867.1183132094,3814548.167503234,468441.1186537344,1810875.227885856,0.00018827104883885633,
255,1303605.854192227,3753019.1868280717,423385.72558052174,1633603.1315229675,0.00016510626154023184,
256,1342380.0051168134,3692110.0887119654,382661.9523194884,1473667.6366299116,0.00014479165951385088,
